item,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T20,7411,1429,10326,4540,66660,7639,7953,1468,4979,4927,4124,,1739,12647,13694,17525,3709,264,,7256,1135,3906,19728,2847,1276,4656,5690,994,,17828,3492,0,55626,24477,408,29957,80,5286,38186,1256,12645,1321,1556,76238,0,411,15604,187534,44688,2001,
T21,,,,955,26723,756,229,284,,14000,,,218,17348,5442,28064,5932,275,,470,1657,8976,,1104,16424,25,4654,593,71820,319,54425,6429,,176,1191,39832,125771,2429,26825,189,4324,5892,207,13445,,24,113,14942,4154,449,109
T22,172986,,25105,27257,84567,23474,32538,1643896,37248,386200,74243,1959,4182,311797,9112,75484,28040,151794,184652,11777,83751,24761,31472,9409,132851,0,5283,15738,76560,75975,374586,36705,2286,751945,,292349,53085,467279,13920,5266,130868,6675,818243,205061,443,3729,66069,45559,728,23956,15761
T23,20402,36543,45080,27194,115291,112800,5054,4136,96,16932,37969,666,56404,40719,20208,35439,30082,30778,30774,17054,17826,6426,91864,72026,2747,34546,69573,16417,13352,14362,14827,24645,44831,37236,19505,41103,24670,58565,82290,1844,20152,31020,41552,119872,32276,8245,26459,42573,14326,93204,42401
T24,237575,33600,255034,170569,4920460,428841,230462,56082,32230,1498596,375639,199182,203051,1764038,366896,698847,225983,205245,76104,109927,471001,416016,1366442,856610,162947,300665,171159,106763,194095,85310,628977,209574,1418248,873708,116847,453563,773448,723098,1150355,29627,303975,84815,353924,2075524,228294,73514,446812,648425,4355,627348,99034
T25,45048,,40734,24089,285557,39744,33585,6645,4717,201600,117406,356,11325,127569,261793,13726,28036,14038,5389,10267,26923,74816,55380,48774,17343,14060,7547,10433,19725,7836,53070,5004,141385,109255,4766,71277,29677,29735,77883,7983,4711,4912,60475,155619,24475,14778,138837,104615,143600,39578,4223
T27,19464,8978,0,8628,628587,13309,,531,,23982,,17491,62471,11823,,11062,5698,,7315,,,,32263,642,6863,17979,12,,,24138,21565,1710,37088,18946,5,1001,5,12021,62800,2440,13740,,5937,20887,,,635,20778,340,66173,
T28,67867,71637,205639,127333,5854119,52221,56326,127014,69827,164729,79211,41278,89660,426818,37700,138016,101828,134316,108312,116668,195835,320192,256843,520132,81397,180685,175531,34767,255310,192402,538792,48307,122849,339260,77968,860701,882,303627,1129790,69691,124334,134857,381875,579589,58401,29028,213191,379875,5918,342929,43222
T29,1,0,2104,844,27002,45,4268,11561,52945,11088,30596,13268,3943,35517,77700,3194,2697,4907,4640,11247,1728,274932,163451,66784,65262,82109,14310,951,7037,2499,1852,0,863,49718,0,132398,1002,11057,20750,6261,19034,25886,8435,151336,7345,10464,65208,171073,3508,47915,0
T40,4274052,,4530410,2914939,84412243,7539184,8177456,1685848,2377236,,11704328,2359093,1913459,17956356,8303278,3960027,3380030,4831399,3916190,1843459,10698876,17414713,9029493,10923158,1861263,5901668,1338737,2445647,,122631,15412766,1227926,53659401,12505906,376864,8284983,3364947,8635668,12372183,1241856,5095531,,57642,,3734504,762641,14996649,,1947946,8494785,
T41,754272,194663,523062,469029,9817957,696612,2062263,244913,727697,2481710,984087,43679,245969,3491688,756866,620486,433931,639200,450449,216131,1325456,2532411,812842,1604450,421425,364460,186297,391164,,780672,3565191,95556,4824289,662343,81490,3683,301574,892484,2510056,213303,505025,37459,1504881,,360203,141623,1362172,,151989,1585086,
T50,,,0,,282,,146650,211,37249,0,0,45451,,301768,139,76275,0,48250,,21079,197169,699555,0,148779,0,8,,,,,436756,,1070166,1279,,76,0,113796,1051259,56325,,,0,,,15168,81,634915,,41,0
T51,60391,,18830,51505,,,175028,186158,452739,3317815,0,61110,,76935,,23334,0,3491,,41525,227050,356284,404871,317509,,13530,,18581,108061,152084,544460,,1278846,95288,,,21457,1957,636662,13549,136197,181,304090,,,60445,554295,1226500,12188,77430,
T53,33403,609307,12704,28962,119680,147878,,,,28678,,,5781,,852,,32412,87325,447026,,,,14983,56358,36507,1,173824,2396,122449,,,1415606,,1724,2086801,66642,829238,15521,,,,5881,828,4273807,53188,,2042,38408,267049,1890,505573
T99,0,,128880,54332,0,0,271,1223,58484,,152391,0,2730,0,0,0,,0,0,0,256141,0,0,53334,0,89,4090,0,642603,0,0,54253,1676698,0,0,0,83629,0,35619,0,0,815,15872,0,146,5670,72541,8,7144,14606,5774
